Gizmo.Menu;Edit Mode
plSpatialAnchorComponent;Spatial Anchor
plSrmRenderComponent;Visualize Surface Reconstruction Mesh
ExposedProperties;Exposed Properties
plExposedSceneProperty;Exposed Property
Parameters;Parameters
plSimpleWindComponent;Simple Wind
plAnimatedMeshComponent;Animated Mesh
plMotionMatchingComponent;Motion Matching
Scene.Utils.Menu;Utilities
Scene.ExportSceneToOBJ;Export Scene Geometry to OBJ...
Scene.KeepSimulationChanges;Keep Simulation Changes;Only possible during simulation. Synchronizes the position of selected objects back to the editor.
Scene.FavoriteCams.Menu;Favorite Cameras
Scene.Camera.Store.0;Save Favorite Position 0;Saves the current position as a favorite user position
Scene.Camera.Store.1;Save Favorite Position 1;Saves the current position as a favorite user position
Scene.Camera.Store.2;Save Favorite Position 2;Saves the current position as a favorite user position
Scene.Camera.Store.3;Save Favorite Position 3;Saves the current position as a favorite user position
Scene.Camera.Store.4;Save Favorite Position 4;Saves the current position as a favorite user position
Scene.Camera.Store.5;Save Favorite Position 5;Saves the current position as a favorite user position
Scene.Camera.Store.6;Save Favorite Position 6;Saves the current position as a favorite user position
Scene.Camera.Store.7;Save Favorite Position 7;Saves the current position as a favorite user position
Scene.Camera.Store.8;Save Favorite Position 8;Saves the current position as a favorite user position
Scene.Camera.Store.9;Save Favorite Position 9;Saves the current position as a favorite user position
Scene.Camera.Restore.0;Go to Favorite Position 0;Moves the editor camera to a previously saved favorite position
Scene.Camera.Restore.1;Go to Favorite Position 1;Moves the editor camera to a previously saved favorite position
Scene.Camera.Restore.2;Go to Favorite Position 2;Moves the editor camera to a previously saved favorite position
Scene.Camera.Restore.3;Go to Favorite Position 3;Moves the editor camera to a previously saved favorite position
Scene.Camera.Restore.4;Go to Favorite Position 4;Moves the editor camera to a previously saved favorite position
Scene.Camera.Restore.5;Go to Favorite Position 5;Moves the editor camera to a previously saved favorite position
Scene.Camera.Restore.6;Go to Favorite Position 6;Moves the editor camera to a previously saved favorite position
Scene.Camera.Restore.7;Go to Favorite Position 7;Moves the editor camera to a previously saved favorite position
Scene.Camera.Restore.8;Go to Favorite Position 8;Moves the editor camera to a previously saved favorite position
Scene.Camera.Restore.9;Go to Favorite Position 9;Moves the editor camera to a previously saved favorite position
Scene.Camera.JumpTo.0;Jump to Level Camera 0;Moves the editor camera to a camera position that is stored in the level file
Scene.Camera.JumpTo.1;Jump to Level Camera 1;Moves the editor camera to a camera position that is stored in the level file
Scene.Camera.JumpTo.2;Jump to Level Camera 2;Moves the editor camera to a camera position that is stored in the level file
Scene.Camera.JumpTo.3;Jump to Level Camera 3;Moves the editor camera to a camera position that is stored in the level file
Scene.Camera.JumpTo.4;Jump to Level Camera 4;Moves the editor camera to a camera position that is stored in the level file
Scene.Camera.JumpTo.5;Jump to Level Camera 5;Moves the editor camera to a camera position that is stored in the level file
Scene.Camera.JumpTo.6;Jump to Level Camera 6;Moves the editor camera to a camera position that is stored in the level file
Scene.Camera.JumpTo.7;Jump to Level Camera 7;Moves the editor camera to a camera position that is stored in the level file
Scene.Camera.JumpTo.8;Jump to Level Camera 8;Moves the editor camera to a camera position that is stored in the level file
Scene.Camera.JumpTo.9;Jump to Level Camera 9;Moves the editor camera to a camera position that is stored in the level file
Scene.Camera.Create.0;Create Level Camera 0;Creates a camera node at the current editor camera position and configures its shortcut
Scene.Camera.Create.1;Create Level Camera 1;Creates a camera node at the current editor camera position and configures its shortcut
Scene.Camera.Create.2;Create Level Camera 2;Creates a camera node at the current editor camera position and configures its shortcut
Scene.Camera.Create.3;Create Level Camera 3;Creates a camera node at the current editor camera position and configures its shortcut
Scene.Camera.Create.4;Create Level Camera 4;Creates a camera node at the current editor camera position and configures its shortcut
Scene.Camera.Create.5;Create Level Camera 5;Creates a camera node at the current editor camera position and configures its shortcut
Scene.Camera.Create.6;Create Level Camera 6;Creates a camera node at the current editor camera position and configures its shortcut
Scene.Camera.Create.7;Create Level Camera 7;Creates a camera node at the current editor camera position and configures its shortcut
Scene.Camera.Create.8;Create Level Camera 8;Creates a camera node at the current editor camera position and configures its shortcut
Scene.Camera.Create.9;Create Level Camera 9;Creates a camera node at the current editor camera position and configures its shortcut
plCameraUsageHint::Thumbnail;Thumbnail
EditorShortcut;Editor Shortcut;Press ALT+Number to jump to this camera.
Scene.CreateThumbnail;Create Scene Thumbnail
Scene.GameMode.PlayFromHere;Play From Here
Scene.GameObject.CreateEmptyHere;Create Empty Object Here
plPlayerStartPointComponent;Player Start Point
plInstancedMeshComponent;Instanced Mesh
plMarkerComponent;Marker
plRaycastComponent;Raycast Placement
plBeamComponent;Beam
plMoveToComponent;Move To
plDeviceTrackingComponent;Device Tracking
plStageSpaceComponent;Stage Space
plXRDeviceType::HMD;HMD
plXRDeviceType::LeftController;Left Controller
plXRDeviceType::RightController;Right Controller
plXRDeviceType::DeviceID0;DeviceID 0
plXRDeviceType::DeviceID1;DeviceID 1
plXRDeviceType::DeviceID2;DeviceID 2
plXRDeviceType::DeviceID3;DeviceID 3
plXRDeviceType::DeviceID4;DeviceID 4
plXRDeviceType::DeviceID5;DeviceID 5
plXRDeviceType::DeviceID6;DeviceID 6
plXRDeviceType::DeviceID7;DeviceID 7
plXRDeviceType::DeviceID8;DeviceID 8
plXRDeviceType::DeviceID9;DeviceID 9
plXRDeviceType::DeviceID10;DeviceID 10
plXRDeviceType::DeviceID11;DeviceID 11
plXRDeviceType::DeviceID12;DeviceID 12
plXRDeviceType::DeviceID13;DeviceID 13
plXRDeviceType::DeviceID14;DeviceID 14
plXRDeviceType::DeviceID15;DeviceID 15
plXRTransformSpace::Local;Local Space
plXRTransformSpace::Global;Global Space
plXRPoseLocation::Grip;Grip
plXRPoseLocation::Aim;Aim
plXRStageSpace::Seated;Seated
plXRStageSpace::Standing;Standing
InstanceData;Instance Data
Scene.Render.PickTransparent;Select Transparent
plGrabbableItemComponent;Grabbable Item
plVisualizeHandComponent;Visualize Hand
plSimpleAnimationComponent;Simple Animation
plAnimationControllerComponent;Animation Controller
plWindStrength::Calm;Calm
plWindStrength::LightBreple;Light Breple
plWindStrength::GentleBreple;Gentle Breple
plWindStrength::ModerateBreple;Moderate Breple
plWindStrength::StrongBreple;Strong Breple
plWindStrength::Storm;Storm
plBlackboardComponent;Blackboard
plBlackboardEntry;Entry
plBlackboardEntryFlags::Save;Save
plBlackboardEntryFlags::OnChangeEvent;OnChangeEvent
plBlackboardEntryFlags::UserFlag0;UserFlag 0
plBlackboardEntryFlags::UserFlag1;UserFlag 1
plBlackboardEntryFlags::UserFlag2;UserFlag 2
plBlackboardEntryFlags::UserFlag3;UserFlag 3
plBlackboardEntryFlags::UserFlag4;UserFlag 4
plBlackboardEntryFlags::UserFlag5;UserFlag 5
plBlackboardEntryFlags::UserFlag6;UserFlag 6
plBlackboardEntryFlags::UserFlag7;UserFlag 7
plRootMotionMode::Ignore;Ignore
plRootMotionMode::ApplyToOwner;Apply To Owner
plRootMotionMode::SendMoveCharacterMsg;Send MoveCharacterMsg
plJointOverrideComponent;Joint Override Component
plHeightfieldComponent;Heightfield Component
plRenderComponent;Render Component
plReflectionProbeMode::Static;Static
plReflectionProbeMode::Dynamic;Dynamic
ConstantColor;Constant Color
Constant1;Constant1
Constant2;Constant2
Constant3;Constant3
Constant4;Constant4
Split;Split
MergeFloat2;Merge to Float2
MergeFloat3;Merge to Float3
MergeFloat4;Merge to Float4
MaterialOutput;Material Output
Time;Time
UV;UV
UV2;UV 2
Scroll;Scroll
VertexPosition;Vertex Position
VertexWorldPosition;Vertex WorldPosition
VertexNormal;Vertex Normal
VertexTangent;Vertex Tangent
VertexColor;Vertex Color
Camera;Camera
Lerp;Lerp
Add;Add
Subtract;Subtract
Multiply;Multiply
Divide;Divide
Fraction;Fraction
Abs;Abs
Sign;Sign
Sqrt;Sqrt
Negate;Negate
Max;Max
Min;Min
Saturate;Saturate
Clamp;Clamp
Floor;Floor
Ceil;Ceil
Round;Round
Truncate;Truncate
Sine;Sine
Cosine;Cosine
Exp;Exp
Exp2;Exp2
Log;Log
Log2;Log2
Log10;Log10
Pow;Pow
Distance;Distance
Dot;Dot
Cross;Cross
Normalize;Normalize
FromCameraSpace;From CameraSpace
FromScreenSpace;From ScreenSpace
FromWorldSpace;From WorldSpace
TangentToWorldSpace;Tangent To WorldSpace
Parameter1f;Parameter 1f
Parameter2f;Parameter 2f
Parameter3f;Parameter 3f
Parameter4f;Parameter 4f
ParameterColor;Parameter Color
PointSampler;Point Sampler
LinearSampler;Linear Sampler
PointClampSampler;Point Clamp Sampler
LinearClampSampler;Linear Clamp Sampler
EmissiveTexture;Emissive Texture
Texture2D;Texture 2D
Texture3Way;Texture 3-Way
BlendNormals;Blend Normals
SceneColor;Scene Color
SceneDepth;Scene Depth
ScenePosition;Scene Position
DepthFade;Depth Fade
Fresnel;Fresnel
Refraction;Refraction
SetColorMode;Set Color Mode
